box,Urban,Water,Woodland,trapsT,BarbTotal,BarbMean,TotalInv,TotalSpp,meanInv,MeanSpp,BatTotal,BatMean,BatMedian,model
1,0.00002,165057.6335,98469.04451,1,9,9,3,1,3,1,322,322,,21.38364656
2,0,134030.5548,285881.8016,1,9,9,3,1,3,1,322,322,,28.88114706
3,0,111043.6517,235024.4433,5,356,71.2,18,9,3.6,1.8,3363,672.6,,24.34347942
4,0.0000001,8900.862263,340076.6799,12,582,48.5,43,20,3.583333333,1.666666667,10141,845.0833333,,21.79147809
5,0.000027,9843.249965,299125.9907,3,215,71.66666667,3,3,1,1,1019,339.6666667,,19.68800973
6,0,0,65650.93395,3,8,2.666666667,3,3,1,1,774,258,,6.482629686
7,0,0,216740.7686,2,10,5,5,5,2.5,2.5,389,194.5,,14.52060889
8,0,26510.26753,117592.4718,1,18,18,5,4,5,4,1289,1289,,11.35878782
9,0,696.5373556,259160.1983,3,20,6.666666667,16,15,5.333333333,5,2202,734,,16.83283658
10,0,0,158543.0364,2,9,4.5,9,4,4.5,2,799,399.5,,11.42448954
11,0,0,285297.7907,4,28,7,12,7,3,1.75,957,239.25,,18.16784247
12,0,7832.753182,562906.5087,2,39,19.5,0,0,0,0,476,238,,33.56089669
13,0,0,111700.5286,1,1,1,0,0,0,0,27,27,,8.932468122
14,0,10161.37607,379539.3298,3,105,35,4,3,1.333333333,1,764,254.6666667,,23.99135402
15,0,27765.50131,97408.30051,3,11,3.666666667,8,8,2.666666667,2.666666667,1198,399.3333333,,10.38503204
16,0,6551.391453,294774.1181,4,5,1.25,18,7,4.5,1.75,315,78.75,,19.19412898
17,0.000022,0,152829.7108,4,13,3.25,14,9,3.5,2.25,967,241.75,,11.12054061
18,0.000035,0,57094.00393,7,173,24.71428571,14,9,2,1.285714286,7975,1139.285714,,6.027401009
19,0.000029,0,78374.58482,2,39,19.5,0,0,0,0,476,238,,7.159527912
20,0,0,25804.70841,1,2,2,2,2,2,2,377,377,,4.362810487
21,0,0,461788.9946,3,190,63.33333333,6,4,2,1.333333333,912,304,,27.55717451
22,0,2876.112985,81124.02377,1,0,0,2,2,2,2,26,26,,7.535024269
23,0,0,48459.82148,3,54,18,20,12,6.666666667,4,458,152.6666667,,5.568062503
24,0,0,32465.16148,3,54,18,20,12,6.666666667,4,458,152.6666667,,4.717146591
25,0.000066,0,64065.4698,3,22,7.333333333,25,15,8.333333333,5,1167,389,,6.398282993
26,0.000012,0,109267.4788,1,0,0,8,6,8,6,70,70,,8.803029872
27,0.000019,0,83343.45972,2,9,4.5,1,1,0.5,0.5,270,135,,7.423872057
28,0.0000001,0,156185.1592,9,95,10.55555556,58,29,6.444444444,3.222222222,3672,408,,11.29905047
29,0,57707.18438,232237.5103,6,21,3.5,24,17,4,2.833333333,1302,217,,19.94429814
30,0,0,370681.5847,1,2,2,2,2,2,2,377,377,,22.71026031
31,0,7538.601968,324581.1729,2,4,2,1,1,0.5,0.5,192,96,,20.85854498
32,0.00001,0,370118.4976,2,0,0,0,0,0,0,162,81,,22.68030407
33,0.000009,0,22397.01239,3,5,1.666666667,10,9,3.333333333,3,213,71,,4.181521059
34,0,0,18275.83483,3,5,1.666666667,10,9,3.333333333,3,213,71,,3.962274413
35,0.000017,0,38461.9439,4,10,2.5,7,6,1.75,1.5,1326,331.5,,5.036175415
